analysis_unit,women_over_65,proportion_indigenous,left_school_y10,single_parent_families,low_income_families,mother_low_education,severely_crowded,crowded,more_bedrooms_needed,Privately_rented,Total_admissions_u15,Adult_Total_admissions,preventable_admissions_u15,Adult_preventable_admissions,Aboriginal_unemployment,female_participation,IRSOI,Ante_natal_care_by_10w,smoking_pregnancy,immunised_by5,severe_disability,age_death,region,all_preventable_admissions,all_admissions,latent_v_community
IARE107029a,5.0054507,3.8449215,53.316557,28.26087,4.9459042,35.700935,26.666667,7.8666667,4.4843049,25.866667,14039.296,24962.631,3007.0411,1435.9644,7.9632466,63.672655,5.8823529,42.5,,,5.2736318,,1,4443.005,39001.93,-0.8279923
IARE107030a,5.1541567,3.0506587,50.61296,46.509599,11.391824,43.756968,53.445314,14.029395,9.1844512,27.906089,11287.572,29869.17,,2492.3211,14.250248,51.699946,20.833333,57.337884,42.662116,0,5.3722903,,1,,41156.74,-0.9246016
IARE107031,1.9354898,0.45428822,28.009502,22.058824,1.8404908,2.9126214,0,12.566845,11.693548,48.930481,13750.97,33250.076,1402.5111,1775.999,10.080645,66.216216,0.73529412,62.17753,,,1.1331445,,1,3178.51,47001.05,-1.20309
IARE104021,4.5534699,5.8366016,55.852048,45.449406,10.498442,46.918768,0,11.376774,8.1142211,40.291645,14235.788,33447.755,2390.7736,2418.326,14.450665,54.773083,23.284314,48.951974,34.618054,98.463212,6.9611051,64,1,4809.1,47683.54,-1.967722
IARE102001,4.2219964,8.3723093,53.064577,54.421769,13.152805,42.48366,141.71288,13.986445,6.2780269,31.669747,21102.199,42108.042,4020.129,4536.3702,23.752495,41.216216,66.421569,33.163686,57.980824,92.471245,4.3392505,53,2,8556.499,63210.24,-5.268964
IARE104001,6.4815308,3.9735949,48.586441,49.042146,10.056926,41.216216,0,12.876506,9.1338583,36.295181,19032.646,42166.669,4562.2881,3954.8686,15.966387,45.041322,36.519608,43.076923,49.230769,95.744331,6.2848051,60,2,8517.156,61199.32,-4.868093
IARE104002,6.6476804,2.3205657,41.268682,42.056075,8.2987552,18.867925,0,14.311594,8.5616438,36.413043,10938.861,28239.449,1939.4839,2268.864,8.75,55.607477,10.539216,30.112498,20.066556,,5.9701493,64,2,4208.348,39178.31,-0.8593718
IARE104004,5.7827314,7.6932364,54.111755,50.23622,12.280702,46.91689,61.848958,16.373698,9.9118943,39.160156,16241.582,40292.418,2781.8574,3234.2886,24.708378,43.081181,60.04902,26.754251,38.814902,96.680515,6.7482517,60,2,6016.146,56534,-3.565374
IARE104005,5.7177338,6.3454068,54.464117,53.031674,12.402344,47.797131,35.023041,16.75576,10.458333,36.645161,12831.058,37632.415,2253.3756,3847.4609,19.249862,46.708464,49.509804,41.119032,42.381821,96.261674,6.4466105,62,2,6100.836,50463.47,-2.932547
IARE102002,8.6154495,7.4705275,51.990217,54.255319,19.20904,46.067416,0,7.7079108,6.4102564,42.799189,17409.279,44550.228,2101.3893,5403.6053,22.292994,48.366013,58.088235,44.736842,44.736842,81.25,4.5643154,66,2,7504.995,61959.51,-4.5672
IARE104006b,7.2768709,7.0919117,59.562788,37.341772,10.385757,47.222222,0,9.1584158,6.9333333,39.851485,12163.126,27142.938,1984.0207,1572.1701,15.57971,42.906574,41.666667,,30.555556,,7.3170732,,2,3556.191,39306.06,-0.7032284
IARE104008b,7.4461619,6.1816095,57.130403,55.706522,12.722298,51.010886,0,14.551422,9.6590909,42.778993,15417.91,35596.211,2095.6811,1965.6965,18.817204,43.906511,58.578431,,48.192771,,8.6193745,,2,4061.377,51014.12,-2.256438
IARE102003,6.1601743,15.347824,58.655638,50.803859,12.316176,44.684385,0,11.680727,7.4695122,44.841012,19108.071,38025.644,3762.1976,3235.2982,17.668488,50.679612,43.382353,23.265516,51.933497,100,4.6955246,68,2,6997.496,57133.71,-3.849984
IARE102004,10.175927,11.458692,59.192223,41.860465,13.548387,41.772152,0,18.735892,10.227273,29.571106,25151.838,42349.835,4182.4633,3897.0506,18.803419,41.726619,75,36.300632,47.556622,,6.0538117,43,2,8079.514,67501.67,-5.733493
IARE102005,5.6702453,9.6403514,57.161724,59.428571,19.607843,53.385827,107.07912,17.965497,10.694444,40.987507,18495.686,44181.577,2301.0593,3761.9165,24.103586,42.831858,70.343137,32.859909,46.562132,99.864346,6.6720257,58.5,2,6062.976,62677.26,-4.314392
IARE104009,5.8961808,14.244419,51.140038,62.541806,14.511352,46.689304,39.60396,19.669967,11.75,35.082508,16802.763,48354.287,2710.3598,4411.7817,21.300138,34.917733,71.568627,50.364964,57.664234,97.478992,6.5196548,57,2,7122.142,65157.05,-5.02394
